"","state","quantile","occ_category","share_quantile","percentile"
"159","AK",8,"Personal Care and Service",0.0553308823529412,0.2
"160","AK",8,"Sales and Related",0.114154411764706,0.2
"161","AK",8,"Office and Administrative Support",0.230882352941176,0.2
"162","AK",8,"Farming, Fishing, and Forestry",0.00845588235294118,0.2
"163","AK",8,"Construction",0.0261029411764706,0.2
"164","AK",8,"Extraction",0.00294117647058824,0.2
"165","AK",8,"Installation, Maintenance, and Repair",0.0154411764705882,0.2
"166","AK",8,"Production",0.0704044117647059,0.2
"167","AK",8,"Transportation and Material Moving",0.0744485294117647,0.2
"168","AK",8,"Not Identified",0.0104779411764706,0.2
"169","AK",9,"Business Operations Specialists",0.0216328066215199,0.225
"170","AK",9,"Financial Specialists",0.0148607975921746,0.225
"171","AK",9,"Architecture and Engineering",0.00601956358164033,0.225
"172","AK",9,"Life, Physical, and Social Science",0.00583145221971407,0.225
"173","AK",9,"Community and Social Services",0.00451467268623025,0.225
"174","AK",9,"Legal",0.00357411587659895,0.225
"175","AK",9,"Arts, Design, Entertainment, Sports, and Media",0.0500376222723853,0.225
"176","AK",9,"Healthcare Practitioners and Technicians",0.0248306997742664,0.225
"177","AK",9,"Healthcare Support",0.04477050413845,0.225
"178","AK",9,"Protective Service",0.00338600451467269,0.225
"179","AK",9,"Food Preparation and Serving",0.138261851015801,0.225
"180","AK",9,"Building and Grounds Cleaning and Maintenance",0.0342362678705794,0.225
"181","AK",9,"Personal Care and Service",0.11117381489842,0.225
"182","AK",9,"Sales and Related",0.131489841986456,0.225
"183","AK",9,"Office and Administrative Support",0.172498118886381,0.225
"184","AK",9,"Farming, Fishing, and Forestry",0.0110985703536494,0.225
"185","AK",9,"Construction",0.063581640331076,0.225
"186","AK",9,"Extraction",0.00150489089541008,0.225
"187","AK",9,"Installation, Maintenance, and Repair",0.00244544770504138,0.225
"188","AK",9,"Production",0.0611361926260346,0.225
"189","AK",9,"Transportation and Material Moving",0.0803235515425132,0.225
"190","AK",9,"Not Identified",0.0127915726109857,0.225
"191","AK",10,"Chief Executives",0.00184195984527537,0.25
