"","state","occ_category","median_income","quantile","share_quantile"
"362","ID","Transportation and Material Moving",35000,1,0.07870378949319
"363","ID","Not Identified",35000,1,0.0140816578646654
"364","IL","Chief Executives",176983,1,0.00965852683397648
"365","IL","Other Managers",78000,1,0.00894905343248383
"366","IL","Business Operations Specialists",88000,1,0.101782554476254
"367","IL","Financial Specialists",73153,1,0.0520517598762642
"368","IL","Computer and Mathematical",95000,1,0.0417461017287972
"369","IL","Architecture and Engineering",92000,1,0.0188688038352035
"370","IL","Life, Physical, and Social Science",65599,1,0.00878635080281279
"371","IL","Community and Social Services",67530,1,0.0204700756955589
"372","IL","Legal",63000,1,0.0181462488152448
"373","IL","Education, Training, and Library",56634,1,0.0108001024454246
"374","IL","Arts, Design, Entertainment, Sports, and Media",33765,1,0.0253646450047329
"375","IL","Healthcare Practitioners and Technicians",65000,1,0.0677225167971047
"376","IL","Healthcare Support",28553,1,0.0262936443161083
"377","IL","Protective Service",30900,1,0.0092082329983417
"378","IL","Food Preparation and Serving",16800,1,0.0585202114071304
"379","IL","Building and Grounds Cleaning and Maintenance",28081,1,0.0273745130418626
"380","IL","Personal Care and Service",20000,1,0.0275633789084657
"381","IL","Sales and Related",38000,1,0.102097126520304
"382","IL","Office and Administrative Support",36444,1,0.122414924000907
"383","IL","Farming, Fishing, and Forestry",31238,1,0.00335993194287993
"384","IL","Construction",56000,1,0.0374655508863716
"385","IL","Extraction",60951.5,1,0.000771406688917682
"386","IL","Installation, Maintenance, and Repair",54747,1,0.0303636628613465
"387","IL","Production",41296,1,0.0718180853784093
"388","IL","Transportation and Material Moving",36016,1,0.0823900771018328
"389","IL","Not Identified",50000,1,0.016012514203265
"390","IN","Chief Executives",147000,1,0.00641750876137844
"391","IN","Other Managers",70000,1,0.00962815442721484
"392","IN","Business Operations Specialists",71846,1,0.0833167845882956
"393","IN","Financial Specialists",60000,1,0.0367896569397872
"394","IN","Computer and Mathematical",77000,1,0.0259904187494444
"395","IN","Architecture and Engineering",89000,1,0.0203350979023756
"396","IN","Life, Physical, and Social Science",70000,1,0.00732872994528512
"397","IN","Community and Social Services",56275,1,0.0172727289920774
"398","IN","Legal",47195,1,0.0148832793371424
"399","IN","Education, Training, and Library",46856,1,0.0101974312565131
"400","IN","Arts, Design, Entertainment, Sports, and Media",28634,1,0.0240000302605624
"401","IN","Healthcare Practitioners and Technicians",58994,1,0.0737215385226415
"402","IN","Healthcare Support",28317,1,0.0270661817411549
"403","IN","Protective Service",26031,1,0.00640578279346599
"404","IN","Food Preparation and Serving",14159,1,0.0588855413141784
"405","IN","Building and Grounds Cleaning and Maintenance",24778,1,0.0274648646501784
"406","IN","Personal Care and Service",20259,1,0.0250886539912736
"407","IN","Sales and Related",33037,1,0.0927164717697322
"408","IN","Office and Administrative Support",33765,1,0.125130451393026
"409","IN","Farming, Fishing, and Forestry",36000,1,0.00374550110545617
"410","IN","Construction",48000,1,0.0450473861493624
"411","IN","Extraction",56275,1,0.000832921978813824
"412","IN","Installation, Maintenance, and Repair",54145,1,0.0403331687915255
"413","IN","Production",43656,1,0.116248976341914
"414","IN","Transportation and Material Moving",37756,1,0.0892849239987064
"415","IN","Not Identified",40000,1,0.011867814298494
"416","KS","Chief Executives",146315,1,0.00799317765400236
"417","KS","Other Managers",72888,1,0.00903172784918788
"418","KS","Business Operations Specialists",73929,1,0.0921438884557687
"419","KS","Financial Specialists",64154,1,0.041137658092764
"420","KS","Computer and Mathematical",83300,1,0.0355217940743534
"421","KS","Architecture and Engineering",88491,1,0.0202249910639651
"422","KS","Life, Physical, and Social Science",62475,1,0.00701091744229573
"423","KS","Community and Social Services",58994,1,0.0194491274583478
"424","KS","Legal",46856,1,0.01781671793746
"425","KS","Education, Training, and Library",48002,1,0.00618345468515605
"426","KS","Arts, Design, Entertainment, Sports, and Media",26031,1,0.0239298101432674
"427","KS","Healthcare Practitioners and Technicians",58994,1,0.0730869145489906
"428","KS","Healthcare Support",25887,1,0.0300241390212485
"429","KS","Protective Service",27400,1,0.00504264435331722
"430","KS","Food Preparation and Serving",12000,1,0.0623965085199581
"431","KS","Building and Grounds Cleaning and Maintenance",22510,1,0.0265341600455574
"432","KS","Personal Care and Service",16883,1,0.0246531364309711
"433","KS","Sales and Related",35000,1,0.104234038740643
"434","KS","Office and Administrative Support",33037,1,0.121333059388747
"435","KS","Farming, Fishing, and Forestry",38936,1,0.00935633342058281
"436","KS","Construction",42476,1,0.0438058033096634
"437","KS","Extraction",54024,1,0.00227130083337321
"438","KS","Installation, Maintenance, and Repair",50648,1,0.0393513892837006
"439","KS","Production",41296,1,0.0875740799636742
"440","KS","Transportation and Material Moving",36016,1,0.0766716483302046
"441","KS","Not Identified",41650,1,0.0132215789527999
"442","KY","Chief Executives",133000,1,0.00621556835321894
"443","KY","Other Managers",73158,1,0.00826617136188635
"444","KY","Business Operations Specialists",68000,1,0.0839942191543323
"445","KY","Financial Specialists",59652,1,0.0343128225803335
"446","KY","Computer and Mathematical",76692,1,0.0225669376330734
"447","KY","Architecture and Engineering",85000,1,0.0165130217155252
"448","KY","Life, Physical, and Social Science",60000,1,0.00544723625857692
"449","KY","Community and Social Services",58000,1,0.0180200603588298
"450","KY","Legal",44836,1,0.0158902412163476
"451","KY","Education, Training, and Library",50648,1,0.00840077438601056
"452","KY","Arts, Design, Entertainment, Sports, and Media",24000,1,0.0206380569763653
