"","state","income_cutoff","F","M","16-24","25-34","35-44","45-64","65 and above","African American","Asian and Pacific Islander","Multi-racial","Native American","Other race","White","Bachelor's or above","High school or below","Some college","quantile"
"214","FL",12000,0.470765092562664,0.529234907437336,0.0965893460601623,0.236154652357006,0.222247952686815,0.385062903300415,0.0599451455956017,0.152201590296422,0.0325696765209863,0.168431092847125,0.00312891736116105,0.0616560853933757,0.58201263758093,0.336439962700273,0.413422454568157,0.25013758273157,5
"215","GA",11255,0.463080773768674,0.536919226231326,0.106394918396709,0.247802368799361,0.229592561677776,0.370487744405755,0.0457224067203996,0.300355394687718,0.0524946371528387,0.064721180844583,0.00439670054747349,0.0445353608510144,0.533496725916372,0.359266464904343,0.400694567086356,0.240038968009301,5
"216","HI",12000,0.488569780653658,0.511430219346342,0.0846195166508653,0.227225581907702,0.229030157956101,0.378007936173952,0.0811168073113797,0.00993878303748023,0.530122062613095,0.250081069774465,0.00182933017800695,0.0167634965703153,0.191265257826637,0.332851452943637,0.402019441893394,0.265129105162969,5
"217","IA",10000,0.457921122721312,0.542078877278688,0.130567058226992,0.229186828524929,0.218250582251749,0.370091297437729,0.0519042335586009,0.0365426013817745,0.0287259341244506,0.0490863440951085,0.00329314137881212,0.0212827439936972,0.861069235026157,0.306557476857594,0.406392183696224,0.287050339446182,5
"218","ID",9439,0.433686215298034,0.566313784701966,0.148466078720703,0.242671836930785,0.226388936549878,0.339881953261727,0.0425911945369068,0.00795271267286641,0.0165883120002745,0.0818983562678014,0.0114906832298137,0.0593013280258056,0.822768607803438,0.276215641192821,0.44572080573762,0.278063553069558,5
"219","IL",12000,0.461630983554806,0.538369016445194,0.0991138081946624,0.246870961661189,0.228593198898052,0.375326303453695,0.0500957277924013,0.109529627922082,0.067255190081556,0.0888274424213794,0.00561693893634272,0.0817894624481332,0.646981338190506,0.407945747437607,0.364907077043272,0.227147175519122,5
"220","IN",11000,0.453801884330185,0.546198115669815,0.11779816560032,0.234597300810698,0.218968380288882,0.378187430205518,0.0504487230945817,0.0839803354506165,0.0263160659805565,0.0539606700606521,0.00253603255065446,0.0320912769978822,0.801115618959638,0.303696412442783,0.449268211290094,0.247035376267123,5
"221","KS",10000,0.449620508094889,0.550379491905111,0.130665927245549,0.230778612522138,0.221986867630763,0.361531060377834,0.0550375322237152,0.0502205233141772,0.0350147866849993,0.0838040714722785,0.00774828548465614,0.041803006122115,0.781409326921774,0.34035018956353,0.399857605839203,0.259792204597267,5
"222","KY",10413,0.455140847690991,0.544859152309009,0.121851644057948,0.239747358658533,0.217793667650401,0.370772493981663,0.0498348356514546,0.0780995508789205,0.0178388946297256,0.0441256451285105,0.0014627206604284,0.0164226890587922,0.842050499643623,0.297071123718688,0.44165075612067,0.261278120160642,5
"223","LA",10204,0.462753424224973,0.537246575775027,0.107924173096095,0.24778998588057,0.237292888709117,0.350396441723142,0.0565965105910763,0.280616533416737,0.0192574593145385,0.0547778257280378,0.00646351127223735,0.0220896155274637,0.616795054740986,0.274507887483629,0.472124275044697,0.253367837471675,5
"224","MA",12600,0.476160672132885,0.523839327867115,0.0943498829355712,0.249558238348958,0.214220004046672,0.378983900027941,0.0628879746408579,0.0664933663490351,0.083258534141383,0.0795695112198788,0.00229581169488096,0.0508890152135583,0.717493761381264,0.519255412423282,0.306442108508609,0.174302479068109,5
"225","MD",12500,0.475222240164348,0.524777759835652,0.0943502425540323,0.236449811719464,0.229684713292002,0.379490396635043,0.0600248357994584,0.279233526162456,0.0680497809713614,0.064289329325074,0.00369596317656788,0.0756037023604328,0.509127698004108,0.427385725141888,0.372203199556732,0.20041107530138,5
"226","ME",11255,0.492172530383088,0.507827469616912,0.102755358634335,0.224225181003256,0.208981156008951,0.398834700814235,0.0652036035392222,0.0167112568169332,0.0126110473400003,0.0430745318034222,0.00349053780634327,0.00620837818402705,0.917904248049274,0.363402280574029,0.380872835442246,0.255724883983724,5
"227","MI",10413,0.456553810666316,0.543446189333684,0.116713061864916,0.242634602582525,0.208688766151101,0.384173173885587,0.0477903955158712,0.116357211382262,0.039740568193276,0.0562915957373417,0.00385833907745394,0.017480896990867,0.766271388618799,0.341448119829923,0.390399230631798,0.268152649538279,5
"228","MN",11799,0.460103137424714,0.539896862575286,0.111350877513027,0.243693610222722,0.232619922939772,0.366042324557403,0.0462932647670767,0.0592382501394592,0.057531134694097,0.0509638289312862,0.00504933640447691,0.0276849383066913,0.799532511523989,0.404307922148623,0.325943834173609,0.269748243677768,5
"229","MO",11255,0.470677911840597,0.529322088159403,0.113159115568796,0.243857903635799,0.224177411501286,0.365693401272127,0.0531121680219919,0.105765212423751,0.0264628694555311,0.0520812965114273,0.0028980381331401,0.0177289771224164,0.795063606353734,0.341665612311798,0.409119882065615,0.249214505622587,5
